ID,Suc_pra,Cen_jac,Achilea,Cirsium,Pim_sax,Ran_acr,Ran_fla,Ang_syl,Lat_pra,Plantago,Poaceae,Cre_bie,Her_sph,Lyc_eur,indet,Dau_car,Kna_arv,Lot_cor,Leo_his,Apiaceae,Tri_spp
24_13_8_Suc_B14_3,0,5,1,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B15_1,7,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B15_2,2,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B15_3,0,0,0,0,,,,,,,,,,,,,,,,,
24_13_8_Suc_B16_1,42,10,2,1,,3,,,,,,,,,,,,,,,
24_13_8_Suc_B16_2,39,15,2,3,,2,3,9,,,,,,,,,,,,,
24_13_8_Suc_B16_3,36,16,17,,,,,,,,,,,,2,,,,,,
24_13_8_Suc_B17_1,35,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B17_2,39,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B17_3,40,,1,,,,,1,,,,,,,1,,,,,,
24_13_8_Suc_B18_1,48,11,,1,,1,,,,,,,,,,,,,,,
24_13_8_Suc_B18_2,17,,1,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B18_3,33,,1,,,,,,,,,,,,3,,,,,,
24_13_8_Suc_B19_1,22,19,1,2,,,,,,,,,,,,,,,,,
24_13_8_Suc_B19_2,38,3,1,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B19_3,0,0,0,0,,,,,,,,,,,,,,,,,
24_13_8_Suc_B20_1,28,,,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B20_2,18,9,,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B20_3,42,2,,,,,,,,,,,,,1,,,,,,
24_13_8_Suc_B21_1,28,,,,,,,,,,,,,,1,,,,,,
24_13_8_Suc_B21_2,45,8,4,,,,1,,,,,,,,,,,,,,
24_13_8_Suc_B21_3,29,6,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B22_1,41,1,1,,,,,,,,,,,,1,,,,,,
24_13_8_Suc_B22_2,22,3,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B22_3,33,,,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B23_1,20,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B23_2,0,0,0,0,,,,,,,,,,,,,,,,,
24_13_8_Suc_B23_3,13,2,,,,,1,,,,,,,,,,,,,,
